epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3100.87,0.96276,2.56009,1.41166,1.14907,0.67236,0.61133,0.63542,0.49937,0.6036,0.54255,0.5144,0.33739,0.82207,1.94593,0.83657,1.02125,0.0700047,0.00333281,0.00333281
2,6050.08,0.9077,2.27911,1.11121,1.08539,0.65963,0.64451,0.67182,0.52979,0.59782,0.57172,0.5493,0.36245,0.81035,1.88901,0.79021,1.02066,0.0398397,0.00650116,0.00650116
1,3403.7,0.97496,2.5964,1.44507,1.15451,0.60779,0.5682,0.58558,0.45251,0.54262,0.49765,0.46495,0.29858,0.86105,2.04262,0.90819,1.02831,0.0700082,0.00333242,0.00333242
2,8033.11,0.92273,2.31499,1.12945,1.08534,0.61963,0.61843,0.63256,0.49242,0.55928,0.54611,0.51272,0.3319,0.84375,1.95523,0.84651,1.02591,0.0397442,0.00640179,0.00640179
3,11888.5,0.97317,2.39039,1.1874,1.11533,0.66998,0.63923,0.67067,0.52706,0.61784,0.55563,0.5471,0.35892,0.81608,1.88406,0.79265,1.02205,0.00921628,0.00920716,0.00920716
4,15578.1,0.92731,2.26366,1.09533,1.09576,0.70076,0.67746,0.70792,0.56412,0.63631,0.60627,0.58484,0.39016,0.78321,1.78621,0.72538,1.00514,0.008812,0.008812,0.008812
1,1659.2,1.03924,2.74307,1.53158,1.14995,0.57613,0.52528,0.54976,0.41292,0.50687,0.45264,0.42468,0.2624,0.90642,2.09433,0.95585,1.04605,0.070016,0.00333155,0.00333155
2,3718.69,0.9434,2.34054,1.1309,1.05417,0.64642,0.5555,0.58183,0.43338,0.57917,0.47843,0.45451,0.27988,0.91512,2.07785,0.92781,1.02805,0.0396861,0.00633498,0.00633498
1,1582.88,1.03408,2.72254,1.50889,1.1442,0.62601,0.51723,0.5455,0.40959,0.55847,0.44819,0.42377,0.26136,0.91747,2.11606,0.97653,1.04824,0.0700125,0.00333194,0.00333194
2,3201.68,0.951,2.35886,1.14088,1.05614,0.6147,0.57534,0.58534,0.43884,0.55029,0.49817,0.45948,0.28341,0.90626,2.06766,0.92393,1.02263,0.0395726,0.00622537,0.00622537
